alpha,Lambda,FpoFs
#alpha=-180
-175,97.7517, 0.001225598454
-175,73.6920, 0.001131281345
-175,53.8793, 0.001075773742
-175,42.2119, 0.001010751920
-175,35.7526, 0.000984708719
-175,29.7000, 0.000946330837
-175,24.8385, 0.000904746875
-175,21.3950, 0.000855958842
-175,19.3817, 0.000842772549
-175,18.1802, 0.000840221393
-175,16.9779, 0.000821400564
-175,15.7766, 0.000801977554
-175,14.5751, 0.000792224493
-175,13.5879, 0.000778692287
-175,12.7869, 0.000771180407
-175,11.9861, 0.000762888674
-175,11.2918, 0.000740614155
-175,10.6918, 0.000595109884
-175,10.0913, 0.000685022237
-175,9.6479, 0.000654177905
-175,9.3475, 0.000582092237
-175,8.9952, 0.000514202918
-175,8.6730, 0.000437654419
-175,8.3452, 0.000367500041
-175,8.0743, 0.000331445638
-175,7.9039, 0.000310899519
-175,7.7140, 0.000287501768
-175,7.4982, 0.000285200670
-175,7.2839, 0.000271569827
-175,7.0937, 0.000284284993
-175,6.8726, 0.000286032962
-175,6.6638, 0.000262879287
-175,6.5153, 0.000244160201
-175,6.2974, 0.000265257459
-175,6.0639, 0.000244708626
-175,5.8990, 0.000223240592
-175,5.7594, 0.000219867386
-175,5.5721, 0.000218353246
-175,5.3791, 0.000233427174
-175,5.2647, 0.000243446251
-175,5.1491, 0.000249772429
-175,4.9998, 0.000273507594
-175,4.8816, 0.000289074464
-175,4.8274, 0.000277064647
-175,4.7964, 0.000280264621
-175,4.7498, 0.000292784491
-175,4.6999, 0.000294093426
-175,4.6623, 0.000286644437
-175,4.6050, 0.000289452487
-175,4.5041, 0.000280033902
-175,4.3952, 0.000268129630
-175,4.3007, 0.000260731670
-175,4.2019, 0.000262735524
-175,4.0737, 0.000248735952
-175,3.9494, 0.000196951595
-175,3.8493, 0.000155193528
-175,3.7493, 0.000115175201
-175,3.6621, 0.000084520247
-175,3.5871, 0.000062444036
-175,3.5131, 0.000051618121
-175,3.4381, 0.000045948525
-175,3.3634, 0.000042036584
