time	flux	error	model	residuals
2456895.54877	1.00046246329	4.2353893791e-05	1.00078400958	-0.000321294399929
2456895.55054	1.00106158004	4.05749826508e-05	1.00079003266	0.000271333018641
2456895.55231	1.00075502661	4.23538371457e-05	1.00079600917	-4.09499617268e-05
2456895.55408	1.00087997941	4.05747669464e-05	1.00080193756	7.79793192032e-05
2456895.55584	1.00073501176	4.2353745906e-05	1.00080781623	-7.27457019357e-05
2456895.55761	1.00086877168	4.05746518501e-05	1.00081364364	5.50832222446e-05
2456895.55938	1.00084250842	4.23536411833e-05	1.00081941822	2.30712898064e-05
2456895.56116	1.00076298319	4.05850299617e-05	1.00082517059	-6.21361277645e-05
2456895.56293	1.0007240029	4.23532968986e-05	1.00083083457	-0.000106742980067
2456895.5647	1.00081886645	4.05846850651e-05	1.00083644109	-1.75599525465e-05
2456895.56647	1.00087760341	4.23531383681e-05	1.00084198864	3.5584809215e-05
2456895.56824	1.00084223956	4.05838462846e-05	1.0008474757	-5.2317057312e-06
2456895.57001	1.00089209032	4.2351829748e-05	1.00085290078	3.9156145858e-05
2456895.57178	1.00089161172	4.05834242087e-05	1.00085826239	3.33207336989e-05
2456895.57355	1.00092412353	4.23516888402e-05	1.00086355905	6.05122287951e-05
2456895.57531	1.00080552582	4.05819504861e-05	1.0008687893	-6.32085681824e-05
2456895.57708	1.00093335193	4.23513558951e-05	1.00087395171	5.9348358122e-05
2456895.57885	1.00083568522	4.05830031337e-05	1.00087904482	-4.3321516555e-05
2456895.60776	1.00078179335	4.23518662818e-05	1.00095127385	-0.000169319429964
2456895.60953	1.00105057387	4.05741626588e-05	1.00095495514	9.5527505892e-05
2456895.6113	1.00089782206	4.23530505162e-05	1.00095854405	-6.06638427387e-05
2456895.61307	1.00101899292	4.05745411434e-05	1.00096203954	5.68986445164e-05
2456895.61484	1.00096735632	4.23535382526e-05	1.00096544057	1.91390550645e-06
2456895.61661	1.00093942475	4.05747395524e-05	1.00096874615	-2.92930233115e-05
2456895.61838	1.00107089501	4.23534328991e-05	1.0009719553	9.88436326372e-05
2456895.62015	1.0010384835	4.05751016726e-05	1.00097506709	6.33546317044e-05
2456895.62192	1.00103264362	4.2353887594e-05	1.00097808059	5.45097139094e-05
2456895.62369	1.00092602697	4.05741570372e-05	1.00098099491	-5.49140664175e-05
2456895.62545	1.00108231036	4.23532725847e-05	1.00098380918	9.84043721528e-05
2456895.62723	1.00086027093	4.05850866671e-05	1.00098653761	-0.000126142239919
